lat_degs,lat_mins,lat_secs,lon_degs,lon_mins,lon_secs
-6.000000,9.000000,26.188200,71.000000,32.000000,19.808160
-6.000000,9.000000,26.184960,71.000000,32.000000,19.807800
-6.000000,9.000000,26.182440,71.000000,32.000000,19.806720
-6.000000,9.000000,26.180640,71.000000,32.000000,19.805640
-6.000000,9.000000,26.179560,71.000000,32.000000,19.805640
-6.000000,9.000000,26.178480,71.000000,32.000000,19.806000
-6.000000,9.000000,26.177040,71.000000,32.000000,19.807440
-6.000000,9.000000,26.177400,71.000000,32.000000,19.809600
-6.000000,9.000000,26.177760,71.000000,32.000000,19.812480
-6.000000,9.000000,26.176680,71.000000,32.000000,19.815720
-6.000000,9.000000,26.174880,71.000000,32.000000,19.818960
-6.000000,9.000000,26.173440,71.000000,32.000000,19.820760
-6.000000,9.000000,26.172000,71.000000,32.000000,19.821480
-6.000000,9.000000,26.170200,71.000000,32.000000,19.821480
-6.000000,9.000000,26.168760,71.000000,32.000000,19.820400
-6.000000,9.000000,26.166960,71.000000,32.000000,19.819320
-6.000000,9.000000,26.164800,71.000000,32.000000,19.818960
-6.000000,9.000000,26.164080,71.000000,32.000000,19.819320
-6.000000,9.000000,26.163360,71.000000,32.000000,19.819680
-6.000000,9.000000,26.163360,71.000000,32.000000,19.820040
-6.000000,9.000000,26.163720,71.000000,32.000000,19.822200
-6.000000,9.000000,26.163720,71.000000,32.000000,19.824360
-6.000000,9.000000,26.164440,71.000000,32.000000,19.826520
-6.000000,9.000000,26.165880,71.000000,32.000000,19.827960
-6.000000,9.000000,26.166960,71.000000,32.000000,19.829400
-6.000000,9.000000,26.168400,71.000000,32.000000,19.829400
-6.000000,9.000000,26.170200,71.000000,32.000000,19.827600
-6.000000,9.000000,26.172720,71.000000,32.000000,19.825440
-6.000000,9.000000,26.174160,71.000000,32.000000,19.822560
-6.000000,9.000000,26.175240,71.000000,32.000000,19.820040
-6.000000,9.000000,26.174880,71.000000,32.000000,19.818240
-6.000000,9.000000,26.174160,71.000000,32.000000,19.817520
-6.000000,9.000000,26.174160,71.000000,32.000000,19.817160
-6.000000,9.000000,26.174880,71.000000,32.000000,19.817880
-6.000000,9.000000,26.174880,71.000000,32.000000,19.818240
-6.000000,9.000000,26.176320,71.000000,32.000000,19.818600
-6.000000,9.000000,26.177760,71.000000,32.000000,19.818960
-6.000000,9.000000,26.178480,71.000000,32.000000,19.817880
-6.000000,9.000000,26.176680,71.000000,32.000000,19.816080
-6.000000,9.000000,26.174880,71.000000,32.000000,19.815360
-6.000000,9.000000,26.173440,71.000000,32.000000,19.813920
-6.000000,9.000000,26.173440,71.000000,32.000000,19.814280
-6.000000,9.000000,26.173800,71.000000,32.000000,19.815000
-6.000000,9.000000,26.174160,71.000000,32.000000,19.816080
-6.000000,9.000000,26.173800,71.000000,32.000000,19.817160
-6.000000,9.000000,26.175240,71.000000,32.000000,19.820040
-6.000000,9.000000,26.177040,71.000000,32.000000,19.821840
-6.000000,9.000000,26.177760,71.000000,32.000000,19.824360
-6.000000,9.000000,26.178840,71.000000,32.000000,19.825800
-6.000000,9.000000,26.179920,71.000000,32.000000,19.826880
-6.000000,9.000000,26.181360,71.000000,32.000000,19.827600
-6.000000,9.000000,26.182440,71.000000,32.000000,19.829040
-6.000000,9.000000,26.182440,71.000000,32.000000,19.831200
-6.000000,9.000000,26.182440,71.000000,32.000000,19.833000
-6.000000,9.000000,26.181360,71.000000,32.000000,19.835520
-6.000000,9.000000,26.182080,71.000000,32.000000,19.837680
-6.000000,9.000000,26.184600,71.000000,32.000000,19.838760
-6.000000,9.000000,26.187840,71.000000,32.000000,19.839480
-6.000000,9.000000,26.191440,71.000000,32.000000,19.839480
-6.000000,9.000000,26.195040,71.000000,32.000000,19.841280
-6.000000,9.000000,26.200080,71.000000,32.000000,19.842360
-6.000000,9.000000,26.204040,71.000000,32.000000,19.844520
-6.000000,9.000000,26.206920,71.000000,32.000000,19.845960
-6.000000,9.000000,26.209080,71.000000,32.000000,19.848840
-6.000000,9.000000,26.210520,71.000000,32.000000,19.851360
-6.000000,9.000000,26.211240,71.000000,32.000000,19.853520
-6.000000,9.000000,26.211600,71.000000,32.000000,19.854600
-6.000000,9.000000,26.211600,71.000000,32.000000,19.855320
-6.000000,9.000000,26.211960,71.000000,32.000000,19.855680
-6.000000,9.000000,26.211240,71.000000,32.000000,19.855320
-6.000000,9.000000,26.210880,71.000000,32.000000,19.855320
-6.000000,9.000000,26.210160,71.000000,32.000000,19.855320
-6.000000,9.000000,26.209440,71.000000,32.000000,19.853880
-6.000000,9.000000,26.208720,71.000000,32.000000,19.854600
-6.000000,9.000000,26.208720,71.000000,32.000000,19.855680
-6.000000,9.000000,26.208360,71.000000,32.000000,19.858200
-6.000000,9.000000,26.209080,71.000000,32.000000,19.861800
-6.000000,9.000000,26.209080,71.000000,32.000000,19.865400
-6.000000,9.000000,26.209800,71.000000,32.000000,19.867200
-6.000000,9.000000,26.210520,71.000000,32.000000,19.867200
-6.000000,9.000000,26.209800,71.000000,32.000000,19.865400
-6.000000,9.000000,26.209080,71.000000,32.000000,19.862880
-6.000000,9.000000,26.208000,71.000000,32.000000,19.860360
-6.000000,9.000000,26.208360,71.000000,32.000000,19.858560
-6.000000,9.000000,26.209440,71.000000,32.000000,19.858200
-6.000000,9.000000,26.211240,71.000000,32.000000,19.857480
-6.000000,9.000000,26.213040,71.000000,32.000000,19.857120
-6.000000,9.000000,26.213760,71.000000,32.000000,19.857120
-6.000000,9.000000,26.213760,71.000000,32.000000,19.857480
-6.000000,9.000000,26.213040,71.000000,32.000000,19.858200
-6.000000,9.000000,26.212320,71.000000,32.000000,19.858920
